DateTime,AddedIPs,RemovedIPs
1590511951,43,475
1590513862,28,355
1590515841,44,481
1590517697,158,484
1590519762,48,2689
1590521567,65,2443
1590523497,38,2568
1590525388,50,2864
1590527555,62,2304
1590529465,47,2101
1590531619,101,1810
1590533540,51,2651
1590535456,44,1441
1590537403,47,2396
1590539337,52,2128
1590541299,53,2368
1590543137,43,2111
1590544978,41,2232
1590546980,51,1725
1590548917,43,1917
1590550814,58,2228
1590552736,53,2193
1590554688,43,924
1590556576,44,48
1590558492,36,47
1590560427,51,59
1590562335,40,53
1590564258,43,48
1590566593,52,91
1590568574,50,1907
1590570747,71,2173
1590572664,51,2632
1590574863,62,2468
1590576752,66,2188
1590578723,85,1357
1590580609,121,83
1590582516,80,67
1590584576,89,67
1590586594,667,71
1590588491,1752,68
1590590424,1802,74
1590592612,997,63
1590594509,1332,61
1590596421,1964,65
1590598336,2324,52
1590600267,1830,64
1590602174,2096,51
1590604102,2127,189
1590606137,3198,61
1590607952,2715,75
1590609873,2814,49
1590611779,3010,48
1590613837,3268,52
1590615883,3326,37
1590617774,2221,98
1590619708,2050,39
1590621868,1641,45
1590623808,1508,33
1590625778,1390,45
1590627861,1865,37
1590629822,1888,32
1590631976,1962,41
1590633893,1569,39
1590635804,47,31
1590637707,37,30
1590639639,35,28
1590641565,33,35
1590643533,33,39
1590645396,37,33
1590647300,34,32
1590649469,42,42
1590651637,58,33
1590653789,41,38
1590655704,34,27
1590657654,36,44
1590659541,43,34
1590661466,39,35
1590663394,34,28
1590665592,42,33
1590667562,34,41
1590669416,44,23
1590671328,29,21
1590673242,34,807
1590675146,49,1464
1590677087,33,1477
1590679286,44,1032
1590681149,37,1350
1590683101,36,1792
1590684995,39,2087
1590686902,24,1677
1590689001,40,1891
1590690974,46,2543
1590692937,53,3359
1590694816,41,3448
1590696733,73,2810
1590698671,79,3152
1590700577,56,2804
1590702752,86,3467
1590704662,71,1903
1590706591,60,2225
1590708511,58,1294
1590710668,95,1742
1590712587,47,1651
1590714764,70,2224
1590716663,66,2069
1590718724,187,1951
1590720754,160,1292
1590722663,63,83
1590724581,145,63
1590726501,85,86
1590728656,67,82
1590730577,72,89
1590732754,75,81
1590734662,57,64
1590736586,75,74
1590738517,57,76
1590740424,87,120
1590742342,66,63
1590744286,66,80
1590746181,55,85
1590748128,63,85
1590750289,85,93
1590752207,74,84
1590754050,72,78
1590756110,70,110
1590757940,92,59
1590759916,71,111
1590762026,73,89
1590763948,74,66
1590765897,57,76
1590767811,69,89
1590769696,74,69
1590771886,70,99
1590773792,81,57
1590775697,90,71
1590777617,80,68
1590779571,92,88
1590781464,81,56
1590783378,64,84
1590785313,83,83
1590787219,86,75
1590789160,60,99
1590791076,80,88
1590793027,70,88
1590794929,80,79
1590797031,80,87
1590798986,158,74
1590800895,75,78
1590802821,89,84
1590804746,72,134
1590806670,68,200
1590808581,49,67
1590810509,68,112
1590812418,73,114
1590814357,65,78
1590816269,64,70
1590818179,54,95
1590820109,62,66
1590822257,68,75
1590824237,57,77
1590826107,70,66
1590828018,64,55
1590829936,68,79
1590831875,61,77
1590834043,74,86
1590835945,51,84
1590837881,66,70
1590839786,62,83
1590841798,62,65
1590843875,60,80
1590845778,67,67
1590847762,39,61
1590849644,55,71
1590851541,46,59
1590853464,61,75
1590855374,70,68
1590857296,80,80
1590859222,61,56
1590861158,69,76
1590863060,59,71
1590864975,70,77
1590866895,85,71
1590869003,83,95
1590871000,85,79
1590872899,75,85
1590874842,73,106
1590876739,86,76
1590878655,93,112
1590880573,64,78
1590882519,91,97
1590884414,70,179
1590886334,91,169
1590888258,66,110
1590890174,234,106
1590892096,95,89
1590895213,84,123
1590897134,86,87
1590899055,71,79
1590900975,67,71
1590902892,70,73
1590905787,88,80
1590907696,461,63
1590909622,57,52
1590911534,53,63
1590913470,61,70
1590915380,48,43
1590917295,203,56
1590920209,910,79
