DateTime,AddedIPs,RemovedIPs
1590169803,1,0
1590171165,1,0
1590173916,2,0
1590181260,0,1
1590182724,3,0
1590185567,1,0
1590189168,1,1
1590194064,1,0
1590196370,2,2
1590197663,0,1
1590207165,0,1
1590209993,0,1
1590214397,2,1
1590215664,0,2
1590217964,2,0
1590219262,0,1
1590222865,0,4
1590225186,1,8
1590231248,1,0
1590232381,0,1
1590233948,1,0
1590237264,1,0
1590239607,1,0
1590240867,1,0
1590242193,1,0
1590243726,1,0
1590248064,0,4
1590249514,0,1
1590252927,1,1
1590254258,3,1
1590255264,0,26
1590257807,0,26
1590259139,2,24
1590261165,1,17
1590262463,1,2
1590268771,2,0
1590269664,0,1
1590271971,0,1
1590279164,0,2
1590281800,1,0
1590285996,3,1
1590287664,0,2
1590298461,2,1
1590300766,5,0
1590303522,0,3
1590306721,1,0
1590312325,1,5
1590312864,0,1
1590318047,0,1
1590321653,2,0
1590324930,0,1
1590326726,1,0
1590328226,1,0
1590329384,0,1
1590330621,0,1
1590335931,0,3
1590339713,3,1
1590341664,1,1
1590343964,1,1
1590345263,0,1
1590348324,0,1
1590351169,1,0
1590352747,2,3
1590354190,1,0
1590356064,1,1
1590357196,0,1
1590363263,1,0
1590364749,0,3
1590370468,1,0
1590380738,1,0
1590384870,0,2
1590388477,0,1
1590393278,1,0
1590395708,0,1
1590402033,1,1
1590403259,0,1
1590410074,0,1
1590412706,1,2
1590413670,0,1
1590421831,0,1
1590424467,1,4
1590428899,1,2
1590430454,1,0
1590431666,1,1
1590434488,0,1
1590438334,1,0
1590438873,0,2
1590441732,1,0
1590448366,4,0
1590452731,0,1
1590456210,1,1
1590457672,0,1
1590464616,1,0
1590466952,1,1
1590469597,0,2
1590471280,0,1
1590474095,2,0
1590475312,1,0
1590477849,0,1
1590482074,3,1
1590484735,2,0
1590494618,0,1
1590497434,0,1
1590500074,1,1
1590503128,1,0
1590505261,1,0
1590506730,1,0
1590508852,1,7
1590511825,1,1
1590513083,3,0
1590515427,3,0
1590517229,1,0
1590520980,2,0
1590521665,1,2
1590524070,1,0
1590525183,0,2
1590526854,1,0
1590528186,2,0
1590529659,0,1
1590532465,1,0
1590538655,0,1
1590541956,1,0
1590551435,0,2
1590554070,1,0
1590561684,1,1
1590567366,2,0
1590569437,0,2
1590570927,2,0
1590576981,1,0
1590580429,2,0
1590581859,1,0
1590584841,1,0
1590587532,1,0
1590590066,1,0
1590593667,0,3
1590600329,3,0
1590601833,1,3
1590608066,1,2
1590611139,1,0
1590612641,0,1
1590618337,0,3
1590625532,0,1
1590629086,1,0
1590630633,1,0
1590636868,0,1
1590639936,0,1
1590642268,1,1
1590644689,2,0
1590646415,2,0
1590647678,1,0
1590654872,1,2
1590657463,1,0
1590659587,1,0
1590664760,1,0
1590668543,3,1
1590669265,1,0
1590670514,1,0
1590671793,2,0
1590674266,1,0
1590675522,1,0
1590677433,0,1
1590678900,0,3
1590680068,0,6
1590683129,1,3
1590685406,1,3
1590688235,0,1
1590690865,0,3
1590692725,6,0
1590694455,0,1
1590695595,0,1
1590697527,1,0
1590698067,0,2
1590699815,2,0
1590705271,1,0
1590708335,2,0
1590710460,1,0
1590711930,1,0
1590712472,0,1
1590715139,1,0
1590716675,1,0
1590720644,1,0
1590723267,0,1
1590729936,6,0
1590731177,0,1
1590735474,1,0
1590737139,4,2
1590740551,1,0
1590742235,1,2
1590743433,1,0
1590744499,1,0
1590747029,0,1
1590748467,1,0
1590749774,0,2
1590752069,1,1
1590755141,1,0
1590755679,0,2
1590757707,2,0
1590759271,3,0
1590766466,1,3
1590769183,0,3
1590770625,0,1
1590772606,2,0
1590773665,1,0
1590775853,1,0
1590777266,0,1
1590780868,1,0
1590785433,5,0
1590788065,2,1
1590791672,2,0
1590794600,2,0
1590799834,0,2
1590806062,0,1
1590811397,0,1
1590813267,1,0
1590815863,0,2
1590819922,0,1
1590821423,0,1
1590823523,1,0
1590827661,2,0
1590829862,5,1
1590832857,0,1
1590837055,0,1
1590838461,1,0
1590841522,0,1
1590845122,2,1
1590845663,0,1
1590853823,0,6
1590856462,0,1
1590859330,1,0
1590863664,2,6
1590868302,0,2
1590870324,0,1
1590873921,1,0
1590875424,0,1
1590878696,0,2
1590881659,0,2
1590886227,0,1
1590888322,1,1
1590895417,3,0
1590899664,0,6
1590903261,1,0
1590904419,0,1
1590906328,0,1
1590906859,0,4
1590909580,1,0
1590910465,1,0
1590912596,0,1
1590914062,3,1
1590916247,1,0
1590920496,0,2
